label,California,Florida,New York,Pennsylvania,Texas
2021,39237836,21781128,19835913,12964056,29527941
2020,39368078,21733312,19336776,12783254,29360759
2019,39437610,21492056,19463131,12798883,28986794
2018,39437463,21254926,19544098,12809107,28624564
2017,39337785,20977089,19593849,12794679,28291024
2016,39149186,20627237,19636391,12788468,27914064
2015,38904296,20219111,19657321,12789838,27468531
2014,38586706,19853880,19653431,12792392,26963092
2013,38253768,19551678,19626488,12779538,26479646
2012,37944551,19302016,19574362,12769123,26084120
2011,37636311,19055607,19499921,12747052,25645504
2010,37319550,18846143,19399956,12711406,25241897
2009,36961229,18652644,19307066,12666858,24801761
2008,36604337,18527305,19212436,12612285,24309039
2007,36250311,18367842,19132335,12563937,23831983
2006,36021202,18166990,19104631,12510809,23359580
2005,35827943,17842038,19132610,12449990,22778123
2004,35574576,17415318,19171567,12410722,22394023
2003,35253159,17004085,19175939,12374658,22030931
2002,34871843,16689370,19137800,12331031,21690325
2001,34479458,16356966,19082838,12298970,21319622
2000,33987977,16047515,19001780,12284173,20944499
1999,33145121,15111244,18196601,11994016,20044141
1998,32682794,14908230,18159175,12002329,19712389
1997,32217708,14683350,18143184,12015888,19355427
1996,31780829,14426911,18143805,12038008,19006240
1995,31493525,14185403,18150928,12044780,18679706
1994,31317179,13961798,18156652,12042545,18338319
1993,31147208,13713593,18140894,12022128,17996764
1992,30875920,13504775,18082032,11980819,17650479
1991,30414114,13289497,18029532,11943160,17339904
1990,29950111,13018365,18002855,11895604,17044714
1989,29218164,12637715,17983086,11865996,16806735
1988,28464249,12306395,17941309,11845752,16667022
1987,27777158,11997283,17868848,11810866,16621791
1986,27102237,11667505,17833419,11782752,16561113
1985,26441109,11351118,17791672,11770862,16272734
1984,25844393,11039925,17745684,11815172,16007086
1983,25360026,10749851,17686905,11837723,15751676
1982,24820009,10471407,17589738,11845146,15331415
1981,24285933,10192774,17567734,11858567,14746318
1980,23667902,9746324,17558072,11863895,14229191
1979,23256880,9426159,17583838,11887975,13888371
1978,22835958,9102032,17680589,11879396,13500429
1977,22352396,8856183,17812602,11893591,13193050
1976,21935909,8667379,17940541,11897378,12904089
1975,21537849,8518422,18003485,11906095,12568843
1974,21173865,8298762,18049775,11870884,12268629
1973,20868728,7913696,18177063,11890527,12019543
1972,20585469,7511463,18339400,11908233,11759148
1971,20345939,7158304,18357982,11886400,11509848
1970,19971069,6791418,18241391,11800766,11198655
1969,19711000,6641000,18105000,11741000,11045000
1968,19394000,6433000,18051000,11741000,10819000
1967,19176000,6242000,17935000,11681000,10599000
1966,18858000,6104000,17843000,11664000,10492000
1965,18585000,5954000,17734000,11620000,10378000
1964,18151000,5781000,17589000,11519000,10270000
1963,17668000,5628000,17461000,11424000,10159000
1962,17072000,5458000,17301000,11355000,10053000
1961,16497000,5243000,17061000,11392000,9820000
1960,15870000,5004000,16838000,11329000,9624000
1959,15467000,4808000,16685000,11234000,9405000
1958,14880000,4630000,16601000,11058000,9252000
1957,14264000,4372000,16374000,10954000,9070000
1956,13713000,4047000,16112000,10972000,8830000
1955,13133000,3747000,15966000,10939000,8660000
1954,12746000,3505000,15814000,10817000,8382000
1953,12251000,3310000,15527000,10662000,8336000
1952,11635000,3157000,15192000,10503000,8314000
1951,11134000,2980000,14890000,10461000,8111000
1950,10677000,2810000,14865000,10507000,7776000
1949,10337000,2668000,14892000,10390000,7623000
1948,10064000,2578000,14497000,10287000,7626000
1947,9832000,2528000,13982000,10196000,7388000
1946,9559000,2440000,13398000,9866000,7197000
1945,9344000,2465000,12495000,9143000,6826000
1944,8945000,2420000,12628000,9214000,6876000
1943,8506000,2451000,12807000,9444000,7012000
1942,7735000,2151000,13002000,9704000,6711000
1941,7237000,2017000,13267000,9911000,6585000
1940,6950000,1915000,13456000,9896000,6425000
1939,6785000,1836000,13523000,9901000,6360000
1938,6656000,1771000,13512000,9952000,6301000
1937,6528000,1709000,13511000,9790000,6250000
1936,6341000,1651000,13481000,9767000,6192000
1935,6175000,1613000,13375000,9774000,6123000
1934,6060000,1585000,13253000,9795000,6053000
1933,5963000,1552000,13126000,9784000,6014000
1932,5894000,1521000,13001000,9764000,5961000
1931,5824000,1493000,12848000,9707000,5907000
1930,5711000,1471000,12647000,9649000,5844000
1929,5531000,1445000,12171000,9723000,5762000
1928,5344000,1433000,11599000,9802000,5675000
1927,5147000,1418000,11174000,9745000,5577000
1926,4929000,1368000,11257000,9594000,5453000
1925,4730000,1264000,11186000,9478000,5332000
1924,4541000,1160000,10953000,9383000,5210000
1923,4270000,1097000,10752000,9148000,5077000
1922,3991000,1044000,10589000,8982000,4955000
1921,3795000,997000,10416000,8900000,4853000
1920,3554000,962000,10282000,8740000,4723000
1919,3339000,898000,10252000,8643000,4631000
1918,3262000,865000,9936000,8524000,4666000
1917,3171000,895000,9993000,8578000,4563000
1916,3071000,924000,9848000,8463000,4444000
1915,3008000,922000,9700000,8362000,4368000
1914,2934000,871000,9585000,8276000,4300000
1913,2811000,828000,9473000,8139000,4207000
1912,2668000,801000,9361000,7986000,4107000
1911,2534000,773000,9249000,7850000,4016000
1910,2406000,756000,9137000,7706000,3922000
1909,2282000,724000,8935000,7546000,3821000
1908,2161000,684000,8714000,7398000,3727000
1907,2054000,645000,8499000,7253000,3636000
1906,1976000,628000,8289000,7110000,3546000
1905,1893000,615000,8084000,6970000,3459000
1904,1792000,599000,7927000,6833000,3374000
1903,1702000,587000,7771000,6699000,3291000
1902,1623000,565000,7612000,6567000,3210000
1901,1550000,544000,7449000,6439000,3132000
1900,1490000,530000,7283000,6313000,3055000